1,$
2,0
3,1
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
12,?
13,_
14,“
15,”
16,、
17,。
18,《
19,》
20,一
21,一些
22,一何
23,一切
24,一則
25,一方面
26,一旦
27,一來
28,一樣
29,一般
30,一轉眼
31,萬一
32,上
33,上下
34,下
35,不
36,不僅
37,不但
38,不光
39,不單
40,不只
41,不外乎
42,不如
43,不妨
44,不盡
45,不儘然
46,不得
47,不怕
48,不惟
49,不成
50,不拘
51,不料
52,不是
53,不比
54,不然
55,不特
56,不獨
57,不管
58,不至於
59,不若
60,不論
61,不過
62,不問
63,與
64,與其
65,與其說
66,與否
67,與此同時
68,且
69,且不說
70,且說
71,兩者
72,個
73,個別
74,臨
75,為
76,為了
77,為什麼
78,為何
79,為止
80,為此
81,為著
82,乃
83,乃至
84,乃至於
85,麼
86,之
87,之一
88,之所以
89,之類
90,烏乎
91,乎
92,乘
93,也
94,也好
95,也罷
96,了
97,二來
98,於
99,於是
100,於是乎
101,云云
102,雲爾
103,些
104,亦
105,人
106,人們
107,人家
108,什麼
109,什麼樣
110,今
111,介於
112,仍
113,仍舊
114,從
115,從此
116,從而
117,他
118,他人
119,他們
120,以
121,以上
122,以為
123,以便
124,以免
125,以及
126,以故
127,以期
128,以來
129,以至
130,以至於
131,以致
132,們
133,任
134,任何
135,任憑
136,似的
137,但
138,但凡
139,但是
140,何
141,何以
142,何況
143,何處
144,何時
145,餘外
146,作為
147,你
148,你們
149,使
150,使得
151,例如
152,依
153,依據
154,依照
155,便於
156,俺
157,俺們
158,倘
159,倘使
160,倘或
161,倘然
162,倘若
163,借
164,假使
165,假如
166,假若
167,儻然
168,像
169,兒
170,先不先
171,光是
172,全體
173,全部
174,兮
175,關於
176,其
177,其一
178,其中
179,其二
180,其他
181,其餘
182,其它
183,其次
184,具體地說
185,具體說來
186,兼之
187,內
188,再
189,再其次
190,再則
191,再有
192,再者
193,再者說
194,再說
195,冒
196,沖
197,況且
198,幾
199,幾時
200,凡
